"","p.geomean","stat.mean","p.val","q.val","set.size","exp1","path","process"
"GO:0006810 transport",0.00668448604176311,2.51232049515683,0.00668448604176312,0.0490963974791567,59,0.00668448604176311,"GO:0006810 transport","bp"
"GO:0038023 signaling receptor activity",0.000270126891322639,3.71668538142209,0.000270126891322639,0.00918431430496974,25,0.000270126891322639,"GO:0038023 signaling receptor activity","mf"
"GO:0060089 molecular transducer activity",0.000270126891322639,3.71668538142209,0.000270126891322639,0.00918431430496974,25,0.000270126891322639,"GO:0060089 molecular transducer activity","mf"
"GO:0005201 extracellular matrix structural constituent",0.0014608526819677,3.50321829693625,0.0014608526819677,0.0331126607912679,12,0.0014608526819677,"GO:0005201 extracellular matrix structural constituent","mf"
"GO:0031224 intrinsic component of membrane",0.000831891778815716,3.19561526109093,0.000831891778815714,0.0124494533807685,86,0.000831891778815715,"GO:0031224 intrinsic component of membrane","cc"
"GO:0005886 plasma membrane",0.000930929570723799,3.15773515422991,0.000930929570723799,0.0124494533807685,92,0.000930929570723799,"GO:0005886 plasma membrane","cc"
"GO:0071944 cell periphery",0.000930929570723799,3.15773515422991,0.000930929570723799,0.0124494533807685,92,0.000930929570723799,"GO:0071944 cell periphery","cc"
"GO:0016020 membrane",0.00104442530643676,3.11261703407828,0.00104442530643676,0.0124494533807685,117,0.00104442530643676,"GO:0016020 membrane","cc"
"GO:0009897 external side of plasma membrane",0.00105812234327092,3.39030723958108,0.00105812234327092,0.0124494533807685,16,0.00105812234327092,"GO:0009897 external side of plasma membrane","cc"
"GO:0016021 integral component of membrane",0.00114918031207094,3.09727431102348,0.00114918031207094,0.0124494533807685,83,0.00114918031207094,"GO:0016021 integral component of membrane","cc"
"GO:0110165 cellular anatomical entity",0.0017161518162306,2.94087335502038,0.0017161518162306,0.015935695436427,240,0.0017161518162306,"GO:0110165 cellular anatomical entity","cc"
"GO:0032991 protein-containing complex",0.0026005588477188,2.84737253861429,0.0026005588477188,0.0211295406377152,60,0.0026005588477188,"GO:0032991 protein-containing complex","cc"
"GO:0009986 cell surface",0.00373979684006197,2.79294832960816,0.00373979684006197,0.027009643844892,25,0.00373979684006197,"GO:0009986 cell surface","cc"
"GO:0062023 collagen-containing extracellular matrix",0.00465485710130538,2.76107564057271,0.00465485710130539,0.0278492238695437,18,0.00465485710130538,"GO:0062023 collagen-containing extracellular matrix","cc"
"GO:0005615 extracellular space",0.00511339370169858,2.61239610261393,0.00511339370169859,0.0278492238695437,58,0.00511339370169858,"GO:0005615 extracellular space","cc"
"GO:0005887 integral component of plasma membrane",0.00662152875090787,2.55066219887522,0.00662152875090788,0.0278492238695437,32,0.00662152875090787,"GO:0005887 integral component of plasma membrane","cc"
"GO:0031226 intrinsic component of plasma membrane",0.00662152875090787,2.55066219887522,0.00662152875090788,0.0278492238695437,32,0.00662152875090787,"GO:0031226 intrinsic component of plasma membrane","cc"
"GO:0098552 side of membrane",0.00703579864450333,2.58923117214691,0.00703579864450335,0.0278492238695437,18,0.00703579864450333,"GO:0098552 side of membrane","cc"
"GO:0005576 extracellular region",0.00711767845130476,2.48191312183631,0.00711767845130476,0.0278492238695437,73,0.00711767845130476,"GO:0005576 extracellular region","cc"
"GO:0099080 supramolecular complex",0.00728364316588066,2.57060679503551,0.00728364316588067,0.0278492238695437,19,0.00728364316588066,"GO:0099080 supramolecular complex","cc"
"GO:0099081 supramolecular polymer",0.00728364316588066,2.57060679503551,0.00728364316588067,0.0278492238695437,19,0.00728364316588066,"GO:0099081 supramolecular polymer","cc"
"GO:0031012 extracellular matrix",0.00934249933708839,2.46401417634041,0.00934249933708841,0.0337368031617081,19,0.00934249933708839,"GO:0031012 extracellular matrix","cc"
