"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSMUSG00000101111",18.5999775631298,-1.82853055645385,0.549248384096682,-3.32915054353985,0.000871113049871858,0.0317990831181398
"2","ENSMUSG00000100862",35.4913652684394,-1.50580236261499,0.387064726643437,-3.89031151371779,0.000100115616251483,0.00713925235579374
"3","ENSMUSG00000096992",27.4272804468273,-1.52753336721024,0.548797505870686,-2.78341893115341,0.00537893029313811,0.0994037827581735
"4","ENSMUSG00000101462",25.690211494707,-1.03589609935632,0.356807862834096,-2.90323226379677,0.00369332614388182,0.0778977589907066
"5","ENSMUSG00000026077",160.069339197583,-1.9138172521348,0.307199664926943,-6.22988066276029,4.6679061236151e-10,5.36750855389191e-07
"6","ENSMUSG00000026073",42.6383458310453,2.26642779583323,0.492185632847883,4.60482314918303,4.12816527206028e-06,0.000646779628631436
"7","ENSMUSG00000026068",273.682425694092,1.22123704050016,0.185166895322595,6.5953314083089,4.2430696043451e-11,6.50533288172843e-08
"8","ENSMUSG00000102776",29.1797514770124,1.31380086925152,0.325471618113918,4.0366065614719,5.42298996607376e-05,0.00464056601841047
"9","ENSMUSG00000061815",49.7164152914415,1.0480981204376,0.360076909886672,2.91076181687815,0.00360548751937427,0.0762457004384457
"10","ENSMUSG00000026180",361.986121116025,2.62747938323121,0.341439107971425,7.69530883220064,1.41152822857823e-14,6.49232408734558e-11
"11","ENSMUSG00000103591",14.8897319311862,-1.2296018864714,0.425934667668746,-2.88683213602062,0.00389141784305491,0.0806242178789688
"12","ENSMUSG00000055866",1995.98105341331,1.00946321456466,0.233324538445292,4.32643399314537,1.51542703418528e-05,0.00166951057334974
"13","ENSMUSG00000042474",178.594576730728,1.04223896120201,0.338336191399931,3.08048322258859,0.00206664997597436,0.0535524313492624
"14","ENSMUSG00000033849",47.1799898163804,1.70570809667224,0.553078934140336,3.08402289688263,0.00204221877320402,0.0530688432053779
"15","ENSMUSG00000103325",10.6717845918041,1.9318684967053,0.605228974201148,3.19196300748028,0.00141309429239584,0.0435502681171299
"16","ENSMUSG00000026581",767.301263616197,1.78808678824716,0.25328530384812,7.05957574751104,1.67011717966986e-12,3.84085198394576e-09
"17","ENSMUSG00000073492",29.1820710054073,1.69590144087518,0.361489002390726,4.69143301638292,2.71298095672543e-06,0.000470881355111646
"18","ENSMUSG00000044103",57.1330098726473,2.68464860395598,0.463773278115293,5.78870911852878,7.09294051384676e-09,4.49985929564664e-06
"19","ENSMUSG00000036067",60.5057604976323,1.55409951718652,0.426899079945413,3.64043772918236,0.000272174929437313,0.0138328020767616
"20","ENSMUSG00000036053",1392.29215867817,1.00119697429477,0.262461133172306,3.81464852412066,0.000136376895688561,0.00871649729370857
"21","ENSMUSG00000027068",44.9328425082915,1.30889555487899,0.383143977798804,3.41619764559192,0.000635021388851456,0.025453428130913
"22","ENSMUSG00000059173",75.5403994351386,1.08641819010463,0.359042588780538,3.02587554806399,0.00247914320769067,0.0595831352225716
"23","ENSMUSG00000027219",40.9729075357774,1.72187681150417,0.302205311358482,5.6977053241187,1.21430696957025e-08,6.57082930180985e-06
"24","ENSMUSG00000027398",346.749095795052,2.32411407679587,0.294953207512762,7.87960265424579,3.28423783179324e-15,2.0141135876444e-11
"25","ENSMUSG00000017737",351.634921814048,1.40976226696382,0.324370960395329,4.34614203825665,1.38552867794482e-05,0.00154490646162599
"26","ENSMUSG00000050600",69.3145482087102,1.01251469624394,0.252551985322232,4.00913378270247,6.09418850618706e-05,0.00509640364258316
"27","ENSMUSG00000060445",32.4441179565609,1.96863208877325,0.436048382701258,4.51471021765486,6.34034022919255e-06,0.00081573132543136
"28","ENSMUSG00000085891",11.1762942493645,1.51845225606236,0.542134365670862,2.80087807048231,0.00509637708791399,0.0958723370791837
"29","ENSMUSG00000065503",8.88616794549697,-1.83855916892105,0.630173677113373,-2.91754358471923,0.00352800339149731,0.0752122901468917
"30","ENSMUSG00000078122",206.451392517635,1.46537937441008,0.24370927079212,6.01281752494359,1.8232623321269e-09,1.39768251610295e-06
"31","ENSMUSG00000033777",202.83711850701,1.28887090285256,0.28558796744412,4.51304343942556,6.39039270622005e-06,0.000816461423673865
"32","ENSMUSG00000054293",69.3053217759464,1.06028907381667,0.337748696808624,3.13928398195256,0.00169361231728531,0.0485644386570367
"33","ENSMUSG00000048621",27.3103236298869,1.03533829858168,0.365484664040084,2.8327817838839,0.0046144875180165,0.0899778585469775
"34","ENSMUSG00000067276",27.8646267864434,-1.01663162156963,0.348772309659755,-2.91488628372306,0.00355818166688635,0.0756802616270231
"35","ENSMUSG00000095788",71.4104302439097,1.28853141119099,0.346421804861844,3.71954476625646,0.000199582172841485,0.0116568660823417
"36","ENSMUSG00000078780",53.4273739868445,1.10908855692192,0.327739615999438,3.38405399524183,0.000714239555119373,0.027606259107324
"37","ENSMUSG00000036362",76.4723855405727,1.00887735045722,0.269628885415175,3.74172577579643,0.000182760881099144,0.0109883486616407
"38","ENSMUSG00000049404",47.3465519632497,1.2918589049766,0.369608600007233,3.49520791710832,0.000473692596249679,0.020849273650243
"39","ENSMUSG00000028068",55.6592731350637,-1.33018067294363,0.302942176077797,-4.39087316980926,1.12896381200819e-05,0.00134004362666624
"40","ENSMUSG00000074480",88.9263058753496,-1.08437477993854,0.199475504265945,-5.43613003475771,5.44502240687012e-08,2.27676186912719e-05
"41","ENSMUSG00000056054",1200.57892629575,3.25142983891131,0.462425308763492,7.03125407994106,2.04685376048877e-12,4.18422394283026e-09
