SampleName,SampleType,Rep,Soil,Cohort,Flu,Time,Ear,Sample_or_Control,SampleNumber
Soil_Road_C_HI_14_3_S186,Soil,156,Road,C,HI,14,NA,Sample,S186
Soil_Road_C_HI_35_3_S282,Soil,157,Road,C,HI,35,NA,Sample,S282
Soil_Road_C_PR8_14_3_S183,Soil,158,Road,C,PR8,14,NA,Sample,S183
Soil_Road_C_PR8_35_3_S279,Soil,159,Road,C,PR8,35,NA,Sample,S279
Soil_Road_NA_NA_1_0_S89,Soil,160,Road,NA,NA,0,NA,Sample,S89
Soil_Road_NA_NA_2_0_S90,Soil,161,Road,NA,NA,0,NA,Sample,S90
Soil_Road_NA_NA_3_0_S91,Soil,162,Road,NA,NA,0,NA,Sample,S91
Soil_Road_NA_NA_4_0_S92,Soil,163,Road,NA,NA,0,NA,Sample,S92
Soil_Road_NA_NA_5_0_S93,Soil,164,Road,NA,NA,0,NA,Sample,S93
Soil_Road_NA_NA_6_0_S94,Soil,165,Road,NA,NA,0,NA,Sample,S94
Soil_Road_NA_NA_7_0_S95,Soil,166,Road,NA,NA,0,NA,Sample,S95
Soil_Road_NA_NA_8_0_S96,Soil,167,Road,NA,NA,0,NA,Sample,S96
Water_1_S369,Water,1,NA,NA,NA,NA,NA,Sample,S369
Water_2_S370,Water,2,NA,NA,NA,NA,NA,Sample,S370
Water_3_S371,Water,3,NA,NA,NA,NA,NA,Sample,S371
Water_4_S372,Water,4,NA,NA,NA,NA,NA,Sample,S372
Water_5_S373,Water,5,NA,NA,NA,NA,NA,Sample,S373
Water_6_S374,Water,6,NA,NA,NA,NA,NA,Sample,S374
Water_7_S375,Water,7,NA,NA,NA,NA,NA,Sample,S375
Water_8_S376,Water,8,NA,NA,NA,NA,NA,Sample,S376
