"","p.geomean","stat.mean","p.val","q.val","set.size","exp1"
"mmu04110 Cell cycle",0.00151709527873897,3.49120350655393,0.00151709527873898,0.0244871487082282,12,0.00151709527873897
"mmu04060 Cytokine-cytokine receptor interaction",0.00219561111117951,3.01980226736202,0.00219561111117951,0.0244871487082282,21,0.00219561111117951
"mmu04914 Progesterone-mediated oocyte maturation",0.00296160336332018,3.11332409532811,0.00296160336332018,0.0244871487082282,12,0.00296160336332018
"mmu04114 Oocyte meiosis",0.00306089358852853,3.2525465798887,0.00306089358852853,0.0244871487082282,10,0.00306089358852853
